sex,year,age,country,SUM_suicides_no,SUM_population,SUM_suicides_per100k_pop
female,2002,35-54 years,Iceland,4,39430,10.14
female,2002,35-54 years,Ireland,29,521940,5.56
female,2002,35-54 years,Israel,31,773340,4.01
female,2002,35-54 years,Italy,277,8243211,3.36
female,2002,35-54 years,Japan,2187,17125000,12.77
female,2002,35-54 years,Kuwait,4,225709,1.77
female,2002,35-54 years,Maldives,0,23970,0
female,2002,35-54 years,Malta,2,57093,3.5
female,2002,35-54 years,Mauritius,9,168822,5.33
female,2002,35-54 years,Mexico,158,10409349,1.52
female,2002,35-54 years,Montenegro,0,86210,0
female,2002,35-54 years,Netherlands,218,2409590,9.05
female,2002,35-54 years,New Zealand,39,573790,6.8
female,2002,35-54 years,Norway,46,624015,7.37
female,2002,35-54 years,Panama,8,345505,2.32
female,2002,35-54 years,Paraguay,10,513310,1.95
female,2002,35-54 years,Philippines,74,7977125,0.93
female,2002,35-54 years,Poland,448,5674795,7.89
female,2002,35-54 years,Portugal,81,1468439,5.52
female,2002,35-54 years,Puerto Rico,14,521365,2.69
female,2002,35-54 years,Republic of Korea,845,7092799,11.91
female,2002,35-54 years,Romania,175,2875101,6.09
female,2002,35-54 years,Russian Federation,2910,22995821,12.65
female,2002,35-54 years,Serbia,94,1116564,8.42
female,2002,35-54 years,Seychelles,0,10257,0
female,2002,35-54 years,Singapore,52,576200,9.02
female,2002,35-54 years,Slovakia,39,782131,4.99
female,2002,35-54 years,Slovenia,42,300471,13.98
female,2002,35-54 years,South Africa,9,5057440,0.18
female,2002,35-54 years,Spain,245,5794565,4.23
female,2002,35-54 years,Sri Lanka,204,2477980,8.23
female,2002,35-54 years,Sweden,105,1201907,8.74
female,2002,35-54 years,Switzerland,151,1109627,13.61
female,2002,35-54 years,Thailand,456,8981392,5.08
female,2002,35-54 years,Trinidad and Tobago,7,169414,4.13
female,2002,35-54 years,Turkmenistan,8,504060,1.59
female,2002,35-54 years,United Kingdom,349,8405892,4.15
female,2002,35-54 years,United States,3058,42957716,7.12
female,2002,35-54 years,Uruguay,39,406545,9.59
female,2002,35-54 years,Uzbekistan,91,2586025,3.52
female,2002,05-14 years,Argentina,23,3418842,0.67
female,2002,05-14 years,Aruba,0,7374,0
female,2002,05-14 years,Australia,4,1321845,0.3
female,2002,05-14 years,Belgium,3,600964,0.5
female,2002,05-14 years,Brazil,55,17166101,0.32
female,2002,05-14 years,Bulgaria,3,408024,0.74
female,2002,05-14 years,Canada,17,1997372,0.85
female,2002,05-14 years,Chile,5,1373457,0.36
female,2002,05-14 years,Colombia,64,4195227,1.53
female,2002,05-14 years,Cuba,3,787170,0.38
female,2002,05-14 years,Denmark,0,328734,0
female,2002,05-14 years,Fiji,1,85867,1.16
female,2002,05-14 years,Finland,0,315612,0
female,2002,05-14 years,France,14,3611606,0.39
female,2002,05-14 years,Germany,8,4220169,0.19
female,2002,05-14 years,Greece,0,538762,0
female,2002,05-14 years,Guatemala,1,1646501,0.06
female,2002,05-14 years,Hungary,3,570215,0.53
female,2002,05-14 years,Iceland,0,21996,0
female,2002,05-14 years,Ireland,2,267794,0.75
female,2002,05-14 years,Israel,2,580138,0.34
